Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l3leaf,DC1-LEAF1A,Ethernet1,l3leaf,DC1-SPINE1,Ethernet1,True
l3leaf,DC1-LEAF1A,Ethernet2,l3leaf,DC1-SPINE2,Ethernet1,True
l3leaf,DC1-LEAF1A,Ethernet4,server,dc1-leaf1-server1,iLO,True
l3leaf,DC1-LEAF1A,Ethernet5,server,dc1-leaf1-server1,PCI1,True
l3leaf,DC1-LEAF1A,Ethernet7,mlag_peer,DC1-LEAF1B,Ethernet7,True
l3leaf,DC1-LEAF1A,Ethernet8,mlag_peer,DC1-LEAF1B,Ethernet8,True
l3leaf,DC1-LEAF1B,Ethernet1,l3leaf,DC1-SPINE1,Ethernet2,True
l3leaf,DC1-LEAF1B,Ethernet2,l3leaf,DC1-SPINE2,Ethernet2,True
l3leaf,DC1-LEAF1B,Ethernet5,server,dc1-leaf1-server1,PCI2,True
l3leaf,DC1-LEAF1B,Ethernet7,mlag_peer,DC1-LEAF1A,Ethernet7,True
l3leaf,DC1-LEAF1B,Ethernet8,mlag_peer,DC1-LEAF1A,Ethernet8,True
l3leaf,DC1-LEAF2A,Ethernet1,l3leaf,DC1-SPINE1,Ethernet3,True
l3leaf,DC1-LEAF2A,Ethernet2,l3leaf,DC1-SPINE2,Ethernet3,True
l3leaf,DC1-LEAF2A,Ethernet5,server,dc1-leaf2-server1,PCI1,True
l3leaf,DC1-LEAF2A,Ethernet7,mlag_peer,DC1-LEAF2B,Ethernet7,True
l3leaf,DC1-LEAF2A,Ethernet8,mlag_peer,DC1-LEAF2B,Ethernet8,True
l3leaf,DC1-LEAF2B,Ethernet1,l3leaf,DC1-SPINE1,Ethernet4,True
l3leaf,DC1-LEAF2B,Ethernet2,l3leaf,DC1-SPINE2,Ethernet4,True
l3leaf,DC1-LEAF2B,Ethernet4,server,dc1-leaf2-server1,iLO,True
l3leaf,DC1-LEAF2B,Ethernet5,server,dc1-leaf2-server1,PCI2,True
l3leaf,DC1-LEAF2B,Ethernet7,mlag_peer,DC1-LEAF2A,Ethernet7,True
l3leaf,DC1-LEAF2B,Ethernet8,mlag_peer,DC1-LEAF2A,Ethernet8,True
l3leaf,DC1-SPINE1,Ethernet1,l3leaf,DC1-SPINE2,Ethernet1,True
l3leaf,DC1-SPINE1,Ethernet2,l3leaf,DC1-LEAF1B,Ethernet1,True
l3leaf,DC1-SPINE1,Ethernet3,l3leaf,DC1-LEAF2A,Ethernet1,True
l3leaf,DC1-SPINE1,Ethernet4,l3leaf,DC1-LEAF2B,Ethernet1,True
l3leaf,DC1-SPINE1,Ethernet7,mlag_peer,DC1-SPINE2,Ethernet7,True
l3leaf,DC1-SPINE1,Ethernet8,mlag_peer,DC1-SPINE2,Ethernet8,True
l3leaf,DC1-SPINE2,Ethernet1,l3leaf,DC1-LEAF1A,Ethernet2,True
l3leaf,DC1-SPINE2,Ethernet2,l3leaf,DC1-SPINE2,Ethernet2,True
l3leaf,DC1-SPINE2,Ethernet3,l3leaf,DC1-LEAF2A,Ethernet2,True
l3leaf,DC1-SPINE2,Ethernet4,l3leaf,DC1-LEAF2B,Ethernet2,True
l3leaf,DC1-SPINE2,Ethernet7,mlag_peer,DC1-SPINE1,Ethernet7,True
l3leaf,DC1-SPINE2,Ethernet8,mlag_peer,DC1-SPINE1,Ethernet8,True
